,LearningPathUid_x,LiveUrl,TotalModules,Certification,Title,Total modules,Visitors,Page Views,LPCompletedRate,LPStarted,Sum of LPComplete,Trophies,Shared Trophies,Avg Minutes per Visitor,Bookmard Users,Duration(min),LearningPathUid_y,Roles,Products,Levels
13,learn.wwl.describe-capabilities-of-microsoft-compliance-solutions,https://docs.microsoft.com/en-us/learn/paths/describe-capabilities-of-microsoft-compliance-solutions/,5,sc-900,"Security, Compliance, and Identity Fundamentals (SC-900)  - Describe the capabilities of Microsoft compliance solutions",5.0,"7,056","105,748",28.18%,"3,261",919,"1,038",2559,33.30306359,"1,319",147.0,learn.wwl.describe-capabilities-of-microsoft-compliance-solutions,business-user;student,azure;m365,beginner
14,learn.wwl.sc-200-utilize-kql-for-azure-sentinel,https://docs.microsoft.com/en-us/learn/paths/sc-200-utilize-kql-for-azure-sentinel/,4,sc-200,SC-200 part 4: Create queries for Azure Sentinel using Kusto Query Language (KQL),4.0,"2,958","23,247",8.87%,"2,097",186,230,2559,18.44112576,704,123.0,learn.wwl.sc-200-utilize-kql-for-azure-sentinel,security-operations-analyst,azure;azure-sentinel,intermediate
15,learn.wwl.sc-200-perform-threat-hunting-azure-sentinel,https://docs.microsoft.com/en-us/learn/paths/sc-200-perform-threat-hunting-azure-sentinel/,3,sc-200,SC-200 part 8: Perform threat hunting in Azure Sentinel,3.0,982,"7,527",21.43%,616,132,157,2559,16.61444331,503,116.0,learn.wwl.sc-200-perform-threat-hunting-azure-sentinel,security-operations-analyst,azure;azure-sentinel,intermediate
16,learn.wwl.sc-200-mitigate-threats-using-microsoft-defender-for-endpoint,https://docs.microsoft.com/en-us/learn/paths/sc-200-mitigate-threats-using-microsoft-defender-for-endpoint/,10,sc-200,SC-200 part 1: Mitigate threats using Microsoft Defender for Endpoint,10.0,"8,204","88,727",7.19%,"4,493",323,373,2559,28.47015683,"1,503",406.0,learn.wwl.sc-200-mitigate-threats-using-microsoft-defender-for-endpoint,security-operations-analyst,windows,intermediate
17,learn.wwl.sc-200-mitigate-threats-using-microsoft-365-defender,https://docs.microsoft.com/en-us/learn/paths/sc-200-mitigate-threats-using-microsoft-365-defender/,8,sc-200,SC-200 part 2: Mitigate threats using Microsoft 365 Defender,8.0,"7,198","76,294",24.13%,"1,405",339,385,2559,23.70235714,776,374.0,learn.wwl.sc-200-mitigate-threats-using-microsoft-365-defender,security-operations-analyst,m365,intermediate
18,learn.wwl.sc-200-mitigate-threats-using-azure-defender,https://docs.microsoft.com/en-us/learn/paths/sc-200-mitigate-threats-using-azure-defender/,5,sc-200,SC-200 part 3: Mitigate threats using Azure Defender,5.0,"1,277","14,824",14.99%,"1,001",150,180,2559,29.43050117,647,239.0,learn.wwl.sc-200-mitigate-threats-using-azure-defender,security-operations-analyst,azure;azure-security-center,intermediate
19,learn.wwl.sc-200-create-detections-perform-investigations-azure-sentinel,https://docs.microsoft.com/en-us/learn/paths/sc-200-create-detections-perform-investigations-azure-sentinel/,5,sc-200,SC-200 part 7: Create detections and perform investigations using Azure Sentinel,5.0,"2,330","20,363",23.69%,650,154,175,2559,29.59609442,520,262.0,learn.wwl.sc-200-create-detections-perform-investigations-azure-sentinel,security-operations-analyst,azure;azure-sentinel,intermediate
20,learn.wwl.sc-200-connect-logs-to-azure-sentinel,https://docs.microsoft.com/en-us/learn/paths/sc-200-connect-logs-to-azure-sentinel/,7,sc-200,SC-200 part 6: Connect logs to Azure Sentinel,7.0,"1,001","14,833",21.00%,643,135,163,2559,27.09062604,499,164.0,learn.wwl.sc-200-connect-logs-to-azure-sentinel,security-operations-analyst,azure;azure-log-analytics;azure-sentinel,intermediate
21,learn.wwl.sc-200-configure-your-azure-sentinel-environment,https://docs.microsoft.com/en-us/learn/paths/sc-200-configure-azure-sentinel-environment/,5,sc-200,SC-200 part 5: Configure your Azure Sentinel environment,5.0,"3,398","31,083",19.69%,"1,168",230,279,2559,20.491602899999997,654,114.0,learn.wwl.sc-200-configure-your-azure-sentinel-environment,security-operations-analyst,azure;azure-sentinel,intermediate
22,learn.wwl.plan-implement-identity-governance-strategy,https://docs.microsoft.com/en-us/learn/paths/plan-implement-identity-governance-strategy/,4,sc-300,SC-300 part 4: Plan and implement an identity governance strategy,4.0,"1,493","13,608",12.70%,"1,087",138,162,2559,25.32808663,603,189.0,learn.wwl.plan-implement-identity-governance-strategy,administrator;identity-access-admin;security-engineer,azure;azure-active-directory,intermediate
23,learn.wwl.implement-identity-management-solution,https://docs.microsoft.com/en-us/learn/paths/implement-identity-management-solution/,4,sc-300,SC-300 part 1: Implement an identity management solution,4.0,"5,152","47,900",6.69%,"3,754",251,294,2559,33.86664726,"1,147",218.0,learn.wwl.implement-identity-management-solution,administrator;identity-access-admin;security-engineer,azure;azure-active-directory,intermediate
24,learn.wwl.implement-authentication-access-management-solution,https://docs.microsoft.com/en-us/learn/paths/implement-authentication-access-management-solution/,4,sc-300,SC-300 part 2: Implement an Authentication and Access Management solution,4.0,"4,400","36,133",13.42%,"1,356",182,219,2559,19.72722727,702,191.0,learn.wwl.implement-authentication-access-management-solution,administrator;identity-access-admin;security-engineer,azure;azure-active-directory,intermediate
25,learn.wwl.implement-access-management-for-apps,https://docs.microsoft.com/en-us/learn/paths/implement-access-management-for-apps/,3,sc-300,SC-300 part 3: Implement Access Management for Apps,3.0,"1,273","11,229",12.89%,"1,071",138,166,2559,28.68923802,634,127.0,learn.wwl.implement-access-management-for-apps,administrator;identity-access-admin;security-engineer,azure;azure-active-directory,intermediate
26,learn.wwl.implement-information-protection,https://docs.microsoft.com/en-us/learn/paths/implement-information-protection/,8,sc-400,SC-400 part 1: Implement Information Protection in Microsoft 365,8.0,"3,322","32,430",7.94%,"1,852",147,161,2559,29.24442605,770,299.0,learn.wwl.implement-information-protection,auditor;ip-admin;risk-practitioner,m365-information-protection,intermediate
27,learn.wwl.implement-information-governance,https://docs.microsoft.com/en-us/learn/paths/implement-information-governance/,3,sc-400,SC-400 part 3: Implement Information Governance in Microsoft 365,3.0,943,"7,835",14.93%,643,96,109,2559,27.75850124,474,157.0,learn.wwl.implement-information-governance,auditor;ip-admin,m365;m365-information-protection,intermediate
28,learn.wwl.implement-data-loss-prevention,https://docs.microsoft.com/en-us/learn/paths/implement-data-loss-prevention/,3,sc-400,SC-400 part 2: Implement Data Loss Prevention,3.0,"1,171","9,106",15.40%,721,111,110,2559,21.61394819,503,118.0,learn.wwl.implement-data-loss-prevention,auditor;ip-admin;risk-practitioner,m365;m365-information-protection,intermediate
29,learn-m365.microsoft-365-get-modern,https://docs.microsoft.com/en-us/learn/paths/m365-getmodern/,9,md-100,Microsoft 365 - Modernize your enterprise deployment with Windows 10 and Microsoft 365 ProPlus,9.0,"7,451","74,407",7.60%,"5,353",407,499,2559,23.10581801,"7,853",229.0,learn-m365.microsoft-365-get-modern,administrator,m365;windows;office-365,intermediate
30,learn-m365.microsoft-365-get-modern,https://docs.microsoft.com/en-us/learn/paths/m365-getmodern/,9,md-101,Microsoft 365 - Modernize your enterprise deployment with Windows 10 and Microsoft 365 ProPlus,9.0,"7,451","74,407",7.60%,"5,353",407,499,2559,23.10581801,"7,853",229.0,learn-m365.microsoft-365-get-modern,administrator,m365;windows;office-365,intermediate
31,learn.endpoint-manager-fundamentals,https://docs.microsoft.com/en-us/learn/paths/endpoint-manager-fundamentals/,7,md-101,Microsoft Endpoint Manager fundamentals,7.0,"6,274","71,403",6.05%,"4,840",293,357,2559,30.91778238,"1,710",177.0,learn.endpoint-manager-fundamentals,administrator,mem,beginner
32,learn-m365.manage-enterprise-deployment-m365,https://docs.microsoft.com/en-us/learn/paths/manage-enterprise-deployment-m365/,6,md-101,Manage your enterprise deployment with Microsoft 365,6.0,"5,016","36,163",10.25%,"2,683",275,337,2559,20.88314062,"5,432",157.0,learn-m365.manage-enterprise-deployment-m365,administrator,m365,beginner
33,learn-m365.m365-messaging-secure-environment,https://docs.microsoft.com/en-us/learn/paths/m365-messaging-secure-environment/,3,ms-203,Secure the Microsoft 365 Messaging environment,3.0,813,"6,587",17.75%,552,98,112,2559,20.98890939,970,101.0,learn-m365.m365-messaging-secure-environment,administrator,m365;office-365;office-exchange-server,intermediate
34,learn-m365.m365-messaging-hybrid-migration,https://docs.microsoft.com/en-us/learn/paths/m365-messaging-hybrid-migration/,3,ms-203,Plan a Microsoft 365 Messaging hybrid configuration and migration,3.0,"1,686","13,737",8.64%,"1,308",113,139,2559,22.87598853,997,84.0,learn-m365.m365-messaging-hybrid-migration,administrator,m365;office-365;office-exchange-server,intermediate
35,learn-m365.m365-messaging-architecture,https://docs.microsoft.com/en-us/learn/paths/m365-messaging-architecture/,7,ms-203,Manage Microsoft 365 messaging organizational settings and architecture,7.0,"1,517","17,594",11.66%,823,96,118,2559,28.91786421,"1,066",211.0,learn-m365.m365-messaging-architecture,administrator,m365;office-365;office-exchange-server,intermediate
36,learn-m365.msteams-associate,https://docs.microsoft.com/en-us/learn/paths/m365-msteams-associate/,8,ms-600,Develop apps for Microsoft Teams – Associate,8.0,"7,694","55,436",8.42%,"2,733",230,254,2559,16.12438913,"2,879",559.0,learn-m365.msteams-associate,developer,m365;office-teams,intermediate
37,learn-m365.msgraph-associate,https://docs.microsoft.com/en-us/learn/paths/m365-msgraph-associate/,7,ms-600,Build apps with Microsoft Graph – Associate,7.0,"3,555","24,504",5.75%,"1,201",69,78,2559,20.89423347,"1,886",461.0,learn-m365.msgraph-associate,developer,ms-graph;m365,intermediate
38,learn-m365.m365-extend-fundamental,https://docs.microsoft.com/en-us/learn/paths/m365-extend-fundamental/,4,ms-600,Extend Microsoft 365 – Fundamental,4.0,"7,629","46,729",5.77%,"4,417",255,291,2559,15.80293398,"5,556",169.0,learn-m365.m365-extend-fundamental,developer,m365;office-teams;office-sp-framework;office-add-ins,beginner
39,learn-m365.identity-associate,https://docs.microsoft.com/en-us/learn/paths/m365-identity-associate/,5,ms-600,Implement Microsoft identity – Associate,5.0,"3,259","25,488",13.74%,990,136,159,2559,17.3906055,"2,145",342.0,learn-m365.identity-associate,developer,m365;azure-active-directory,intermediate
40,learn.wwl.prepare-environment-for-microsoft-teams-deployment,https://docs.microsoft.com/en-us/learn/paths/prepare-environment-for-microsoft-teams-deployment/,5,ms-700,Prepare the environment for a Microsoft Teams deployment,5.0,"1,080","14,402",12.95%,896,116,133,2559,38.20467593,97,243.0,learn.wwl.prepare-environment-for-microsoft-teams-deployment,administrator,m365;office-teams,intermediate
41,learn.wwl.manage-meetings-calling-microsoft-teams,https://docs.microsoft.com/en-us/learn/paths/manage-meetings-calling-microsoft-teams/,5,ms-700,Manage meetings and calling in Microsoft Teams,5.0,"1,007","10,978",10.80%,833,90,95,2559,28.53108242,139,276.0,learn.wwl.manage-meetings-calling-microsoft-teams,administrator,m365;office-teams,intermediate
42,learn.wwl.manage-chat-teams-channels-apps-microsoft-teams,https://docs.microsoft.com/en-us/learn/paths/manage-chat-teams-channels-apps-microsoft-teams/,3,ms-700,"Manage chat, teams, channels, and apps in Microsoft Teams",3.0,"1,033","8,356",11.94%,938,112,129,2559,19.04577283,154,153.0,learn.wwl.manage-chat-teams-channels-apps-microsoft-teams,administrator,m365;office-teams,intermediate
43,learn.wwl.get-started-managing-microsoft-teams,https://docs.microsoft.com/en-us/learn/paths/get-started-managing-microsoft-teams/,4,ms-700,Get started with managing Microsoft Teams,4.0,"3,928","48,461",9.37%,"3,395",318,353,2559,40.5301553,247,206.0,learn.wwl.get-started-managing-microsoft-teams,administrator,m365;office-teams,intermediate
44,learn.wwl.plan-implement-identity-synchronization,https://docs.microsoft.com/en-us/learn/paths/plan-implement-identity-synchronization/,5,ms-100,Plan and implement identity synchronization,5.0,757,"6,284",15.34%,378,58,69,2559,19.50138705,133,146.0,learn.wwl.plan-implement-identity-synchronization,administrator;solution-architect;technology-manager,azure-active-directory;m365;office-365,intermediate
45,learn.wwl.manage-your-microsoft-365-tenant,https://docs.microsoft.com/en-us/learn/paths/manage-your-microsoft-365-tenant/,5,ms-100,Manage your Microsoft 365 tenant,5.0,604,"6,357",13.99%,429,60,73,2559,19.65115894,185,184.0,learn.wwl.manage-your-microsoft-365-tenant,administrator;solution-architect;technology-manager,azure-active-directory;m365;office-365,intermediate
46,learn.wwl.implement-applications-external-access-azure-ad,https://docs.microsoft.com/en-us/learn/paths/implement-applications-external-access-azure-ad/,3,ms-100,Implement applications and external access in Azure AD,3.0,360,"2,012",9.25%,292,27,36,2559,15.87212963,103,92.0,learn.wwl.implement-applications-external-access-azure-ad,administrator;solution-architect;technology-manager,azure-active-directory;m365;office-365,intermediate
47,learn.wwl.explore-microsoft-365-platform-services,https://docs.microsoft.com/en-us/learn/paths/explore-microsoft-365-platform-services/,8,ms-100,Explore the Microsoft 365 platform services,8.0,"1,888","14,875",6.83%,776,53,63,2559,22.29685734,242,268.0,learn.wwl.explore-microsoft-365-platform-services,administrator;solution-architect;technology-manager,azure-active-directory;m365;office-365,intermediate
48,learn.wwl.design-your-microsoft-365-tenant,https://docs.microsoft.com/en-us/learn/paths/design-microsoft-365-tenant/,6,ms-100,Design your Microsoft 365 tenant,6.0,"1,913","25,052",6.50%,"1,646",107,137,2559,46.00838996,239,245.0,learn.wwl.design-your-microsoft-365-tenant,administrator;solution-architect;technology-manager,azure-active-directory;m365;office-365,intermediate
49,learn.wwl.configure-your-microsoft-365-tenant,https://docs.microsoft.com/en-us/learn/paths/configure-your-microsoft-365-tenant/,6,ms-100,Configure your Microsoft 365 tenant,6.0,803,"8,782",14.63%,547,80,99,2559,23.25938149,178,146.0,learn.wwl.configure-your-microsoft-365-tenant,administrator;solution-architect;technology-manager,azure-active-directory;m365;office-365,intermediate
50,learn.wwl.prepare-for-device-management-microsoft-365,https://docs.microsoft.com/en-us/learn/paths/prepare-for-device-management-microsoft-365/,5,ms-101,Prepare for device management in Microsoft 365,5.0,376,"2,255",10.50%,181,19,28,2559,14.45181738,113,142.0,learn.wwl.prepare-for-device-management-microsoft-365,administrator;security-engineer;solution-architect;technology-manager,azure-active-directory;m365;office-365,intermediate
51,learn.wwl.plan-your-windows-10-deployment-strategy,https://docs.microsoft.com/en-us/learn/paths/plan-your-windows-10-deployment-strategy/,5,ms-101,Plan your Windows 10 deployment strategy,5.0,379,"2,657",9.90%,192,19,24,2559,18.51244503,79,161.0,learn.wwl.plan-your-windows-10-deployment-strategy,administrator;security-engineer;solution-architect;technology-manager,azure-active-directory;m365;office-365,intermediate
52,learn.wwl.manage-your-microsoft-365-security-services,https://docs.microsoft.com/en-us/learn/paths/manage-your-microsoft-365-security-services/,5,ms-101,Manage your Microsoft 365 security services,5.0,434,"4,042",12.45%,265,33,40,2559,20.932872500000002,198,156.0,learn.wwl.manage-your-microsoft-365-security-services,administrator;security-engineer;solution-architect;technology-manager,azure-active-directory;m365;office-365,intermediate
53,learn.wwl.manage-data-governance-microsoft-365,https://docs.microsoft.com/en-us/learn/paths/manage-data-governance-microsoft-365/,5,ms-101,Manage data governance in Microsoft 365,5.0,209,"1,340",9.09%,132,12,19,2559,10.5245614,100,155.0,learn.wwl.manage-data-governance-microsoft-365,administrator;security-engineer;solution-architect;technology-manager,azure-active-directory;m365;office-365,intermediate
54,learn.wwl.manage-content-search-investigations-microsoft-365,https://docs.microsoft.com/en-us/learn/paths/manage-content-search-investigations-microsoft-365/,3,ms-101,Manage content search and investigations in Microsoft 365,3.0,250,"1,570",13.29%,143,19,27,2559,15.21773333,83,112.0,learn.wwl.manage-content-search-investigations-microsoft-365,administrator;security-engineer;solution-architect;technology-manager,azure-active-directory;m365;office-365,intermediate
55,learn.wwl.introduction-to-microsoft-365-security-metrics,https://docs.microsoft.com/en-us/learn/paths/introduction-to-microsoft-365-security-metrics/,6,ms-101,Explore security metrics in Microsoft 365,6.0,"1,011","8,501",7.41%,499,37,47,2559,25.79635674,148,194.0,learn.wwl.introduction-to-microsoft-365-security-metrics,administrator;security-engineer;solution-architect;technology-manager,azure-active-directory;m365;office-365,intermediate
56,learn.wwl.introduction-to-data-governance-microsoft-365,https://docs.microsoft.com/en-us/learn/paths/introduction-to-data-governance-microsoft-365/,6,ms-101,Explore data governance in Microsoft 365,6.0,420,"2,885",6.50%,246,16,24,2559,16.76789683,120,225.0,learn.wwl.introduction-to-data-governance-microsoft-365,administrator;security-engineer;solution-architect;technology-manager,azure-active-directory;m365;office-365,intermediate
57,learn.wwl.implement-mobile-device-management-microsoft-365,https://docs.microsoft.com/en-us/learn/paths/implement-mobile-device-management-microsoft-365/,4,ms-101,Implement Mobile Device Management in Microsoft 365,4.0,355,"2,458",12.11%,223,27,33,2559,14.70497653,116,126.0,learn.wwl.implement-mobile-device-management-microsoft-365,administrator;security-engineer;solution-architect;technology-manager,azure-active-directory;m365;office-365,intermediate
58,learn.wwl.implement-microsoft-365-threat-intelligence,https://docs.microsoft.com/en-us/learn/paths/implement-microsoft-365-threat-intelligence/,4,ms-101,Implement threat intelligence in Microsoft 365,4.0,392,"2,550",14.36%,181,26,34,2559,18.36547619,108,148.0,learn.wwl.implement-microsoft-365-threat-intelligence,administrator;security-engineer;solution-architect;technology-manager,azure-active-directory;m365;office-365,intermediate
59,learn.wwl.implement-data-governance-microsoft-365-intelligence,https://docs.microsoft.com/en-us/learn/paths/implement-data-governance-microsoft-365-intelligence/,7,ms-101,Implement data governance in Microsoft 365 intelligence,7.0,248,"1,760",7.46%,134,10,17,2559,26.24986559,84,203.0,learn.wwl.implement-data-governance-microsoft-365-intelligence,administrator;security-engineer;solution-architect;technology-manager,azure-active-directory;m365;office-365,intermediate
